ID,Title,Instructors,Rating,Level,URL,Duration,Description,Practice Questions,Is Paid,Price (VND)
1236568,The Absolute Beginners Guide to Cyber Security 2025 - Part 1,Alexander,4.5904007,Beginner Level,https://www.udemy.com/course/the-absolute-beginners-guide-to-information-cyber-security/,5 total hours,Understand the basic concepts and terminologies used in the information and cyber security fields; Take up entry roles for IT and Cybersecurity Positions; Differentiate between the various forms of malware and how they affect computers and networks,0,True,"1,080,000"
802576,AZ-104 Microsoft Azure Administrator Exam Prep,Scott; Software,4.578408,Intermediate Level,https://www.udemy.com/course/70533-azure/,15 total hours,Know how to implement solutions for the Microsoft Azure platform; Pass the Microsoft AZ-104 Microsoft Azure Administrator test the first time; Achieve the Azure Administrator Associate badge,56,True,"339,000"
1209412,Ansible for the Absolute Beginner - Hands-On - DevOps,Mumshad; KodeKloud,4.569937,Beginner Level,https://www.udemy.com/course/learn-ansible/,2.5 total hours,Beginner level introduction to Ansible; Introduction to YAML and Hands-on Exercises; Build Ansible Inventory Files with Hands-on Exercises,0,True,"1,440,000"
256758,Learn Linux in 5 Days and Level Up Your Career,Jason,4.5521584,All Levels,https://www.udemy.com/course/learn-linux-in-5-days/,13.5 total hours,By the end of this course you will understand the fundamentals of the Linux operating system and be able to apply that knowledge in a practical and useful manner.,0,True,"1,980,000"
2591908,Azure DevOps Fundamentals for Beginners,Brian,4.5465183,Intermediate Level,https://www.udemy.com/course/azure-devops-for-beginners/,3.5 total hours,"Create an Azure DevOps organization; Align Azure DevOps work items using Agile, Scrum, or Basic work processes; Integrate an Azure DevOps code repository with GitHub",0,True,"1,150,000"
1151036,Blockchain and Bitcoin Fundamentals,George,4.5409255,Beginner Level,https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/,3 total hours,Have a strong understanding of what blockchain technology is.; Understand what Bitcoin is and how it works.; Know and use key vocabulary and concepts commonly used when discussing blockchain and Bitcoin in business situations.,0,True,"289,000"
2604078,Google Cloud Platform (GCP) Fundamentals for Beginners,Janakiram,4.5226536,Beginner Level,https://www.udemy.com/course/google-cloud-platform-gcp-fundamentals-for-beginners/,5.5 total hours,Take the first step in your GCP readiness journey; Explore GCP building blocks; Learn how to access generative AI models through Vertex AI,0,True,"1,310,000"
4049392,AZ-900 Microsoft Azure Fundamentals in a Weekend,in28Minutes; Open Cloud Solutions |,4.5956397,Beginner Level,https://www.udemy.com/course/azure-certification-az-900-azure-fundamentals/,11 total hours,BONUS: 13 QUIZZES + 1 AZ-900 PRACTISE TEST + DOWNLOADABLE PDF; PASS AZURE Certification - AZ-900 - Microsoft Azure Fundamentals; Get HANDS-ON with Microsoft Azure Fundamentals,59,True,"219,000"
1523066,Complete Linux Training Course to Get Your Dream IT Job 2025,Imran,4.6572165,All Levels,https://www.udemy.com/course/complete-linux-training-course-to-get-your-dream-it-job/,41 total hours,By the end of this course you will be a professional Linux administrator and be able to apply for Linux jobs; You will be able to take the EX-200 exam and become Redhat Certified System Administrator (RHCSA - EX200); You will learn 300+ Linux system administration commands,100,True,"919,000"
5655756,Generative AI for Beginners,Aakriti E-Learning,4.573528,Beginner Level,https://www.udemy.com/course/generative-ai-for-beginners-b/,3.5 total hours,"Detailed Understanding of Generative AI; Key Concepts - LLM, Embeddings, Prompt Engineering, Fine Tuning; Industry use cases and ideas that can be implemented",0,True,"1,900,000"
912902,Six Sigma: Certified Lean Six Sigma White Belt (Accredited),Advanced Innovation,4.5711493,Beginner Level,https://www.udemy.com/course/lean-six-sigma-white-belt-certification/,2.5 total hours,Explain what Quality is; Describe the term Six Sigma and Lean; List the different Six Sigma Roles,0,True,"1,920,000"
4039556,DevOps Beginners to Advanced with Projects,Imran,4.6047096,All Levels,https://www.udemy.com/course/decodingdevops/,55 total hours,"Learn DevOps from total scratch; AWS, Linux, Scripting, Jenkins, Github Actions, Ansible, Docker, Kubernetes, Terraform & many more; Understand how various technologies work together in DevOps & GitOps",0,True,"799,000"
2645936,AWS Certified Cloud Practitioner (CLF-C02) Exam Training,Neal; Digital Cloud Training | AWS Certified Cloud Practitioner,4.5715423,Beginner Level,https://www.udemy.com/course/aws-certified-cloud-practitioner-training-course/,14 total hours,MAXIMIZE YOUR TIME EFFICIENCY: Learn at your own pace with theory lectures and guided practical hands-on exercises; FULL-LENGTH PRACTICE TEST: Assess your exam readiness with 65 unique practice questions delivered in an exam simulation that is timed and scored; QUIZZES: At the end of each section you get to review your knowledge with a total of 120 unique quiz questions that test your understanding,65,True,"319,000"
693700,The Complete Salesforce Certified Administrator Course + AI,Rapid Reskill; Aaron; Evan; Ezekiel; Aiden,4.4839573,All Levels,https://www.udemy.com/course/salesforce-administrator/,40 total hours,Understand all of the core concepts on the exam in order to pass the Salesforce Administrator Certification Exam; Administer Salesforce Like a Pro; Deploy Salesforce Lightning Experience,60,True,"549,000"
1596138,TOTAL: CompTIA Security+ Certification Course + Exam SY0-701,Total Seminars; Mike; Lyndon; Dan,4.673748,All Levels,https://www.udemy.com/course/total-comptia-security-plus/,20.5 total hours,This is a complete and comprehensive CompTIA Security+ Certification (SY0-701) course. It is designed to prepare you to take and pass the CompTIA exam.; You will have the knowledge and confidence to pass the CompTIA exam AND the skills to be a great IT security tech.; Your new skills and the CompTIA Security+ cert will help you land a great security tech job or advance your cybersecurity career.,50,True,"1,050,000"
1677376,API and Web Service Introduction,Nate,4.583494,Beginner Level,https://www.udemy.com/course/api-and-web-service-introduction/,7 total hours,"Introduction to APIs and RESTful Web Services.  Includes HTTP, JSON, XML, REST, SOAP, OAuth, OpenID Connect, Postman, and Python.  Includes examples and a quiz.",0,True,"1,740,000"
3142170,6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02,Stephane Maarek; Abhishek,4.651786,Beginner Level,https://www.udemy.com/course/practice-exams-aws-certified-cloud-practitioner/,390 questions,Guaranteed chance to pass the exam if you score 90%+ on each practice exam; Ace your AWS Certified Cloud Practitioner (CLF-C02) exam; Practice with high quality practice exams alongside detailed explanation to learn concepts,390,True,"969,000"
3329962,Introduction to Cloud Computing on AWS for Beginners [2025],Neal; Digital Cloud Training | AWS Certified Cloud Practitioner,4.594504,Beginner Level,https://www.udemy.com/course/introduction-to-cloud-computing-on-amazon-aws-for-beginners/,9.5 total hours,"This course covers fundamental concepts of cloud computing and is designed for absolute beginners; Learn the basics of Amazon Web Services (AWS), the world's leading cloud computing platform; Gain an understanding of the fundamental systems on which the cloud is based, including storage, networking, and compute",0,True,"929,000"
1780698,TOTAL: CompTIA Network+ (N10-009) + Practice Exam,Total Seminars; Mike,4.6483207,All Levels,https://www.udemy.com/course/comptia-networkplus-certification/,19 total hours,You will learn the knowledge and gain the confidence to pass the CompTIA Network+ Certification (N10-008) exam AND the skills to be a great network tech.; Your new skills and the CompTIA Network+ Certification will help you land a network tech job or get that raise or advancement you are seeking.; This course is ideal as both a study tool and an on-the-job reference.,100,True,"1,400,000"
3827154,GCP Associate Cloud Engineer - Google Cloud Certification,in28Minutes; Ranga Karanam |,4.6132073,All Levels,https://www.udemy.com/course/google-cloud-certification-associate-cloud-engineer/,18 total hours,"Start your journey to become a Google Cloud Certified Associate Cloud Engineer; Get hands-on with compute, networking, storage, and database services in Google Cloud Platform; Understand how to engineer and deploy secure and robust applications on Google Cloud Platform",0,True,"339,000"
1331472,OWASP top 10 Web Application Security for Absolute Beginners,Soerin,4.401844,All Levels,https://www.udemy.com/course/web-application-security-for-absolute-beginners-no-coding/,1.5 total hours,Be confident in explaining the OWASP top 10 during an interview; Explain all OWASP top 10 threats short and impactful to get attention of managers; Explain the impact per threat for your business,0,True,"1,990,000"
95246,Linux Command Line Basics,Ahmed,4.529619,All Levels,https://www.udemy.com/course/linux-command-line-volume1/,5 total hours,realize the potential of the Linux command line.; navigating the Linux Filesystem.; explain the Linux Filesystem hierarchy.,0,True,"1,200,000"
2265622,PL-300 certification prep: Microsoft Power BI Data Analyst,Phillip; I Do Data,4.621227,Beginner Level,https://www.udemy.com/course/70-778-analyzing-and-visualizing-data-with-power-bi/,29.5 total hours,"Download for free and install and run the full version of Power BI Desktop, the BI and analysis software.; Be able to create analyses, such as line charts, stacked bar charts, or geographic analyses using maps.; You will be able to format numbers and dates, and add labels, tooltips and animation.",74,True,"1,450,000"
2514204,AZ-900: Microsoft Azure Fundamentals Original Practice Tests,Scott; Software,4.561086,Beginner Level,https://www.udemy.com/course/az900-azure-tests/,300 questions,Pass the Microsoft AZ-900 Azure Fundamentals test; Earn the Microsoft Certified Azure Fundamentals badge; Learn the main concepts of cloud computing,300,True,"239,000"
4802926,CompTIA A+ Core 1 (220-1201) Full Course & Practice Exam,Jason Dion; Dion Training Solutions; Dion Training Solutions; Dion Training,4.686155,All Levels,https://www.udemy.com/course/comptia-a-core-1/,26 total hours,"Installing and configuring laptops, desktops, and mobile devices; Understanding and implementing fundamental networking concepts; Troubleshooting hardware and software issues effectively",90,True,"1,900,000"
802574,AZ-204 Developing Solutions for Microsoft Azure - JAN 2025,Scott; Software,4.484558,Intermediate Level,https://www.udemy.com/course/70532-azure/,8.5 total hours,"Pass the Microsoft AZ-204 Developing Microsoft Azure Solutions test; Master the main concepts of Azure, beyond the ones you normally use; Become Microsoft Specialist: Developing Azure Solutions certified",50,True,"1,620,000"
4223486,CompTIA Network+ (N10-009) Full Course & Practice Exam,Jason Dion; Dion Training Solutions; Dion Training Solutions; Dion Training,4.6933513,Beginner Level,https://www.udemy.com/course/comptia-network-009/,33 total hours,"Establish and maintain network connectivity for wired and wireless devices; Configure and manage common network services; Understand and apply basic data-center, cloud, and virtual-networking concepts",89,True,"899,000"
5408196,How to ChatGPT: Master the Art of Prompt Engineering,RPATech; Aahana,4.5530167,All Levels,https://www.udemy.com/course/chatgpt-a-master-guide-for-professionals/,3 total hours,"Learn about the basics of ChatGPT, its origin, history, and how it works.; Introduction to Prompts, and how to engineer effective prompts for various scenarios.; Gain expertise in writing Prompts tailored to specific scenarios, role-plays, target groups, and communication channels to achieve the best possible outcome.",0,True,"839,000"
2089742,AZ-900 Bootcamp: Microsoft Azure Fundamentals (MAY 2025),Thomas; labITout,4.539604,Beginner Level,https://www.udemy.com/course/az-900-azure-exam-prep-understanding-cloud-concepts/,10.5 total hours,Pass the AZ-900 Microsoft Azure Fundamentals Exam!; Covers all the latest AZ-900 Exam Topics!; Earn the Microsoft Certified Azure Fundamentals Badge!,49,True,"699,000"
3321604,The DevOps Essentials -  The Handbook,Anand Rao,4.5069904,Beginner Level,https://www.udemy.com/course/the-devops-essentials/,2 total hours,Gain a solid Understanding of DevOps Practices; Learn about Continuous Integration and Delivery and its role in DevOps; DevOps terminology,0,True,"1,770,000"
437490,The Complete Ethical Hacking Course: Beginner to Advanced!,Ermin; Aldin,4.03,All Levels,https://www.udemy.com/course/penetration-testing/,25 total hours,Answers to every single question you have about ethical hacking and penetration testing from an experienced IT professional!; Tips for remaining anonymous in hacking and penetration testing activities.; A guide to using these skills to get a better job and make money online as a freelancer.,0,True,"719,000"
5643624,Cisco CCNA 200–301 complete course,Mohanad,5.0,Beginner Level,https://www.udemy.com/course/cisco-ccna-200-301-complete-course/,23.5 total hours,Get prepared for the CCNA 200-301 exam.; Learn about Network fundamentals.; Learn about Network services.,0,True,"1,980,000"
6246813,PSPO Practice Test: Scrum Product Owner Exam Prep,BIBHAB,5.0,All Levels,https://www.udemy.com/course/pspo-practice-test-scrum-product-owner-exam-prep/,224 questions,Master the key responsibilities of a Scrum Product Owner through hands-on practice; Learn effective techniques for managing and prioritizing the Product Backlog; Develop strategies to deliver maximum business value using Agile principles,224,True,"239,000"
6336309,Complete Asana Project Management Beginners Course,Dare You,5.0,All Levels,https://www.udemy.com/course/complete-asana-project-management-application-online-course/,1.5 total hours,Asana Project Management; Create Project Plans; Create Portfolios,0,True,"1,130,000"
6543717,Software Development Manager Guide,Adrian,5.0,Intermediate Level,https://www.udemy.com/course/software-development-manager-guide/,1.5 total hours,"Build and lead strong development teams, focusing on communication, motivation, and retention of top engineering talent.; Measure team performance, optimize workflows, and report on outcomes in a way that builds trust with stakeholders; Stay ahead of trends in software development management, preparing for what’s next in technology, team dynamics, and delivery practices.",0,True,"289,000"
5594060,AZ-400 Microsoft Azure DevOps Solutions Exam,Domas,5.0,All Levels,https://www.udemy.com/course/az-400-microsoft-azure-devops-solutions-exam/,302 questions,Understand the concepts and principles of Microsoft Azure DevOps Solutions; Learn how to implement source control strategies using Azure Repos; Gain knowledge of implementing continuous integration with Azure Pipelines,302,True,"539,000"
6078827,Dextools Trending Mastery: Elevate Your Token Project Today,Ranga,5.0,All Levels,https://www.udemy.com/course/dextools-trending-mastery-elevate-your-token-project-today/,35 total mins,Understand Dextools Trending Criteria: Learn key factors considered by Dextools for trending a token.; Prepare for Token Launch: Discover essential steps for launching your token ready for Dextools and Dexscreener.; Strategies for Trending on Dextools: Master strategies to position your token for trending status on Dextools.,0,True,"1,680,000"
5814924,Crash Course on Arduino Using Tinkercad,Ameh,5.0,All Levels,https://www.udemy.com/course/crash-course-on-arduino-using-tinkercad/,5 total hours,learn the basics the concepts of electronics.; understand what an Arduino is and how to work with Arduino for prototyping.; understand the fundamental principles of programming with the Arduino language (C/C++),0,True,"929,000"
6198023,Antivirus Evasion - Hard Core,Moreblessing,5.0,All Levels,https://www.udemy.com/course/antivirus-evasion-hard-core/,2 total hours,Understanding advanced antivirus evasion techniques; Installing Kali Linux & Windows Virtual Machines; Implementing process injection methods,0,True,"539,000"
5291332,ChatGPT & Generative AI - The Complete Guide,Academind by Maximilian; Maximilian; Manuel,4.616143,All Levels,https://www.udemy.com/course/chatgpt-bard-bing-complete-guide-to-chatgpt-openai-apis/,21.5 total hours,Master Generative AI & ChatGPT essentials; Engineer perfect prompts to boost efficiency and impact; Learn key ChatGPT tricks & tips to 10x your productivity,0,True,"1,160,000"
2131244,AZ-104 Microsoft Azure Administrator Certification,Alan,4.59471,All Levels,https://www.udemy.com/course/microsoft-certified-azure-administrator/,23 total hours,"Students will familiarize themself with various Cloud Administration skills.; Students will become proficient with various Azure setups including managing networks , compute and storage.; Students will prepare themselves for the AZ-104 Azure administrator exam",196,True,"1,090,000"
3194992,ServiceNow ITSM Processes,Catalin,4.514788,All Levels,https://www.udemy.com/course/itsm-processes-applied-in-servicenow-from-0-to-hero/,2 total hours,ITSM Processes; Basic ServiceNow Administration; How ITSM Processes are applied and used in ServiceNow,0,True,"499,000"
1047846,Amazon Web Services (AWS) Certified - 4 Certifications!,BackSpace; Paul,4.4955945,All Levels,https://www.udemy.com/course/aws-certified-associate-architect-developer-sysops-admin/,46 total hours,"You will be fully prepared for the AWS Certified Solutions Architect Associate, AWS Certified Developer Associate and AWS Certified SysOps Administrator Associate exams.",0,True,"1,510,000"
2360064,TOTAL: CompTIA A+ Core 2 (220-1102) Course + Exam,Total Seminars; Mike,4.7222223,All Levels,https://www.udemy.com/course/comptia-aplus-core-2/,18 total hours,"How to pass the CompTIA A+ Certification Core 2 (220-1102) exam; The skills to be a great IT and computer tech; All about operating systems: Windows, Mac, Linux, iOS, Android",50,True,"959,000"
1973756,The Beginners 2025 Cyber Security Awareness Training Course,Reza,4.6623616,Beginner Level,https://www.udemy.com/course/1m-cyber-security-awareness/,3.5 total hours,"You will be trained, on all the ways hackers can socially engineer you, through email, text, calls, browsing, files, mobile phones, connected home devices etc; You will know the human emotions that hackers like to trigger, to trick you into giving them access to your money, personal accounts, systems & company network; You will stop successful social engineering attacks, by spotting red flags in phishing emails, text messages and phone calls",0,True,"289,000"
4287514,Jira for Beginners - Detailed Course to Get Started in Jira,Simon,4.5503025,Beginner Level,https://www.udemy.com/course/jira-for-beginners-detailed-course-to-get-started-in-jira-online/,4.5 total hours,Learn what Jira is and its applications; Identify different versions of Jira; Learn the basics of Agile Methodology,0,True,"1,780,000"
2356870,Power BI Masterclass from Scratch in 90 minutes [2025],Learn; Learn; Learn,4.5340347,All Levels,https://www.udemy.com/course/power-bi-in-60-minutes/,1.5 total hours,You will learn how to build Reports and Dashboards with Power BI; You will be able to connect various data sources and visualize your data; You will be able to jump start your Power BI journey in 90 minutes,0,True,"1,480,000"
118042,PLC Fundamentals (Level I),Paul,4.683121,Beginner Level,https://www.udemy.com/course/plc-programming-from-scratch/,25.5 total hours,"By the end of this course, you will be able to create a PLC program from scratch.; The primary and overall objective of this course is to give a novice an understanding of PLC programming, ladder logic, and the inner workings of a standard HMI (Human-Machine Interface).; Students will learn the difference between digital and analog signals and how to bring them into a PLC, process them, and send them back out.",0,True,"1,040,000"
2789348,Ultimate AWS Certified Solutions Architect Professional 2025,Stephane Maarek,4.6773047,Expert Level,https://www.udemy.com/course/aws-solutions-architect-professional/,16.5 total hours,PASS the *NEW* AWS Certified Solutions Architect PROFESSIONAL Certification SAP-C02; ALL 500+ SLIDES available as downloadable PDF; TO THE POINT course to help you ace your exam!,0,True,"1,650,000"
4182538,Azure Databricks & Spark For Data Engineers:Hands-on Project,Ramesh,4.603425,All Levels,https://www.udemy.com/course/azure-databricks-spark-core-for-data-engineers/,20 total hours,"You will learn how to build a real world data project using Azure Databricks and Spark Core. This course has been taught using real world data.; You will acquire professional level data engineering skills in Azure Databricks, Delta Lake, Spark Core, Azure Data Lake Gen2 and Azure Data Factory (ADF); You will learn how to create notebooks, dashboards, clusters, cluster pools and jobs in Azure Databricks",0,True,"379,000"
1495884,Six Sigma: Certified Lean Six Sigma Green Belt (Accredited),Advanced Innovation,4.6255364,Intermediate Level,https://www.udemy.com/course/six-sigma-green-belt-training-certification-with-expertise-on-minitab/,18 total hours,Make Your Resume Lucrative: Become a Certified Six Sigma Green Belt; Get Noticed by Top Management: Solve Complex Statistical Problems on Minitab; Gain the Trust of Your Peers: Get Hands-on Expertise on 100+ Lean and Six Sigma Tools and Techniques,0,True,"1,680,000"
4019302,Snowflake – The Complete Masterclass,Nikolai,4.618536,All Levels,https://www.udemy.com/course/snowflake-masterclass/,16.5 total hours,Master all fundamentals & advanced topics; Helpful for snowflake certification; Build professional-quality understanding of Snowflake,0,True,"119,000"
984734,Website Hacking / Penetration Testing,Zaid; z,4.573913,All Levels,https://www.udemy.com/course/learn-website-hacking-penetration-testing-from-scratch/,10.5 total hours,"100+ Videos (10+ hours) to teach you website hacking from scratch.; 50+ hands-on real-life website hacking examples - from simple to advanced.; Discover, exploit and mitigate a number of dangerous web vulnerabilities.",0,True,"559,000"
2193814,ITIL 4 Foundation Practice Certification Exams (6 Exams),Jason Dion; Dion Training Solutions; Dion Training Solutions; Dion Training,4.632611,Beginner Level,https://www.udemy.com/course/itil-4-foundation-practice-certification-exams-6-exams-q/,240 questions,Pass the ITIL® 4 Foundation certification exam,240,True,"789,000"
2469516,AWS Certified Solutions Architect Associate (SAA-C03) Course,Neal; Digital Cloud Training | AWS Certified Cloud Practitioner,4.667327,All Levels,https://www.udemy.com/course/aws-certified-solutions-architect-associate-hands-on/,23 total hours,"24 HOURS OF INSTRUCTOR-GUIDED LECTURES: With our practical exercises, you'll learn how to architect and build applications on Amazon Web Services; EXAM CRAM LECTURES: These fast-paced lectures are perfect for quick revision of the most important facts before sitting your exam; FULL-LENGTH PRACTICE TEST: Get familiar with the real AWS exam format, style and difficulty with a complimentary practice exam that is timed and scored",65,True,"1,970,000"
4758768,AWS Certified Cloud Practitioner Practice Prep Exam CLF-C01,MB,5.0,All Levels,https://www.udemy.com/course/aws-certified-cloud-practitioner-practice-prep-exam-z/,1343 questions,Learn with hours of practice AWS Certified Cloud Practitioner; Measure where you need to improve to succeed on the AWS Certified Cloud Practitioner; Evaluate if you have actually passed all the points of the exam if you are ready to take the official exam.,1343,True,"1,920,000"
5732574,AWS Certified Cloud Practitioner 6 Practice Exams CLF-C02,Morad,5.0,Beginner Level,https://www.udemy.com/course/aws-certified-cloud-practitioner-6-practice-exams-clf-c02/,335 questions,"Understand the fundamental concepts of cloud computing, such as scalability, availability, security, and service models (IaaS, PaaS, SaaS).; Familiarize yourself with key AWS services, including Amazon EC2, Amazon S3, Amazon RDS, Amazon VPC, and AWS Lambda.; Know how to create an AWS account, configure billing, and understand support tiers.",335,True,"179,000"
5560614,Practice exams: 1D0-1080-23-D,Excelevate,5.0,All Levels,https://www.udemy.com/course/practice-exams-1d0-1080-23-d-k/,116 questions,Mastery of Exam Content; Improved Test-Taking Strategies; Enhanced Problem-Solving Skills,116,True,"1,710,000"
5028406,Learn how to setup Acuity (Squarespace Scheduling),Malvern,5.0,All Levels,https://www.udemy.com/course/learn-how-to-setup-acuity-squarespace-scheduling/,1.5 total hours,Navigating in Acuity; Setting up events and additional options; Setting up Calenders,0,True,"139,000"
6559231,Hands on Cisco Packet Tracer: Internet of Things (IoT),Dan,5.0,Beginner Level,https://www.udemy.com/course/cisco-internet-of-things/,3.5 total hours,"What IoT is, how it works, and why it matters in home and enterprise networks.; How to set up Smart Home and Office IoT Labs using sensors, actuators, microcontrollers (MCUs), and single-board computers (SBCs).; The difference between IoT Controllers, MCUs, SBCs, and how they interact with physical components.",0,True,"1,930,000"
4946046,Practice exams: Professional Google Cloud Developer,Peter; Sparsh; Quentin,5.0,Beginner Level,https://www.udemy.com/course/practice-exams-professional-google-cloud-developer/,30 questions,"Design highly scalable, available, reliable cloud-native applications; Build and test applications; Deploy applications",30,True,"1,640,000"
