title,organization,skill_names,rating,level,type,duration,number_of_reviews,url,price
IBM AI Developer,IBM," Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Applied Machine Learning, Algorithms, Cloud API, Machine Learning Software, Natural Language Processing, Human Computer Interaction, Computer Programming, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, Critical Thinking, Cloud-Based Integration, Software As A Service, Data Science",4.6,Beginner , Professional Certificate , 3 - 6 Months,47000,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai?,"1,920,000"
IBM Full Stack Software Developer,IBM," Cloud Computing, Python Programming, Cloud Applications, Computer Programming, IBM Cloud, Application Development, Cloud Infrastructure, DevOps, Web Development, Cloud Management, Cloud Platforms, Javascript, Software Architecture, Cloud API, Cloud Storage, Cloud-Based Integration, Full-Stack Web Development, Software Engineering, Continuous Delivery, Continuous Integration, Docker (Software), Software As A Service, Microarchitecture, Django (Web Framework), Database Application, Databases, Kubernetes, SQL, Software Engineering Tools, Data Management, NoSQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",4.6,Beginner , Professional Certificate , 3 - 6 Months,42000,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer?,"1,140,000"
Introduction to Data Science,IBM," Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Deep Learning, IBM Cloud, Regression, Writing",4.6,Beginner , Specialization , 3 - 6 Months,86000,https://www.coursera.org/specializations/introduction-to-data-science,"1,730,000"
Data Science Fundamentals with Python and SQL,IBM," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Plot (Graphics), R Programming, Data Management, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud",4.6,Beginner , Specialization , 3 - 6 Months,60000,https://www.coursera.org/specializations/data-science-fundamentals-with-python-and-sql,"749,000"
IBM Data Engineering,IBM," Data Management, Databases, Database Administration, Extract, Transform, Load, Python Programming, Big Data, SQL, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Leadership and Management, Kubernetes, PostgreSQL, Devops Tools, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",4.6,Beginner , Professional Certificate , 3 - 6 Months,47000,https://www.coursera.org/professional-certificates/ibm-data-engineering,"719,000"
Key Technologies for Business,IBM," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Data Science, Critical Thinking, Big Data, Data Analysis, Data Mining, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Regression, Writing",4.7,Beginner , Specialization , 1 - 3 Months,83000,https://www.coursera.org/specializations/key-technologies-for-business,"1,680,000"
IBM & Darden Digital Strategy,University of Virginia Darden School Foundation," Business Analysis, Business Transformation, Strategy, Cloud Computing, Data Analysis, Strategy and Operations, Applied Machine Learning, Entrepreneurship, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Visualization, Research and Design, Critical Thinking, Business Design, Business Development, Customer Analysis, Product Strategy, Market Analysis, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",4.7,Beginner , Specialization , 3 - 6 Months,30000,https://www.coursera.org/specializations/ibm--darden-digital-strategy,"1,980,000"
Deep Learning,DeepLearning.AI," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",4.8,Intermediate , Specialization , 3 - 6 Months,142000,https://www.coursera.org/specializations/deep-learning,"1,570,000"
Data Engineering Foundations,IBM," Data Management, Python Programming, Data Structures, Databases, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",4.6,Beginner , Specialization , 3 - 6 Months,46000,https://www.coursera.org/specializations/data-engineering-foundations,"1,150,000"
Applied Data Science,IBM," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",4.6,Beginner , Specialization , 3 - 6 Months,49000,https://www.coursera.org/specializations/applied-data-science,"1,890,000"
IBM Back-End Development,IBM," Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Cloud Computing, Security Engineering, Programming Principles, Web Development, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Data Management, Database Application, Databases, Docker (Software), Linux, SQL, Software-Defined Networking, Technical Product Management, Collaboration, Django (Web Framework), Leadership and Management, Data Analysis, Mergers & Acquisitions",4.6,Beginner , Professional Certificate , 3 - 6 Months,37000,https://www.coursera.org/professional-certificates/ibm-backend-development,"99,000"
IBM AI Foundations for Business,IBM," Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Business Process Management, Computer Vision, Data Architecture, Deep Learning, Human Learning, Machine Learning Software, Data Science, Strategy and Operations, Critical Thinking, Business Analysis, Business Transformation, Strategy, Big Data, Data Mining, Innovation, Regression, Writing",4.7,Beginner , Specialization , 1 - 3 Months,78000,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,"1,260,000"
IBM Data Analytics with Excel and R,IBM," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Data Analysis Software, Data Structures, Statistical Analysis, Microsoft Excel, SQL, Basic Descriptive Statistics, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Spreadsheet Software, Visualization (Computer Graphics), Programming Principles, Regression, Database Administration, Database Design, Database Theory, Computer Programming Tools, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Probability & Statistics, System Programming, Business Analysis, Python Programming, Data Science, NoSQL",4.7,Beginner , Professional Certificate , 3 - 6 Months,20000,https://www.coursera.org/professional-certificates/ibm-data-analytics-with-excel-and-r,"1,330,000"
Data Analysis and Visualization Foundations,IBM," Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Databases, Python Programming, SQL, Statistical Visualization, Business Analysis, Data Management, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",4.7,Beginner , Specialization , 3 - 6 Months,20000,https://www.coursera.org/specializations/data-analysis-and-visualization-foundations,"1,970,000"
Applied Software Engineering Fundamentals,IBM," Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",4.6,Beginner , Specialization , 3 - 6 Months,37000,https://www.coursera.org/specializations/applied-software-engineering-fundamentals,"1,830,000"
Prompt Engineering,Vanderbilt University," Creativity, Data Analysis, Problem Solving, Writing",4.8,Beginner , Specialization , 1 - 3 Months,2100,https://www.coursera.org/specializations/prompt-engineering,"1,070,000"
AI Foundations for Everyone,IBM," Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Critical Thinking, Cloud API, Computer Programming, Data Science",4.7,Beginner , Specialization , 3 - 6 Months,13000,https://www.coursera.org/specializations/ai-foundations-for-everyone,"209,000"
Generative AI with Large Language Models,DeepLearning.AI," Machine Learning, Natural Language Processing, Python Programming",4.8,Intermediate , Course , 1 - 4 Weeks,1600,https://www.coursera.org/courses/generative-ai-with-large-language-models,"749,000"
Cloud Application Development Foundations,IBM," Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Cloud Storage, Continuous Integration, Software As A Service, Continuous Delivery, NoSQL, Computer Science, Front-End Web Development, React (web framework)",4.6,Beginner , Specialization , 3 - 6 Months,6600,https://www.coursera.org/specializations/cloud-application-development-foundations,"669,000"
"DevOps, Cloud, and Agile Foundations",IBM," DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management",4.7,Beginner , Specialization , 3 - 6 Months,8000,https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,"1,300,000"
Google Advanced Data Analytics,Google," Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",4.7,Advanced , Professional Certificate , 3 - 6 Months,2500,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,"1,950,000"
IBM and ISC2 Cybersecurity Specialist,Multiple educators," Computer Security Incident Management, Leadership and Management, Cloud Computing, System Security, Computer Networking, Risk Management, Cloud Storage, Operating Systems, Network Security, Cloud Platforms, Network Architecture, Networking Hardware, Cloud Applications, Cloud Infrastructure, Computer Programming, Cyberattacks, Databases, DevOps, Security Engineering, Cryptography, IBM Cloud, Operations Management, Software Engineering",4.7,Beginner , Professional Certificate , 3 - 6 Months,8100,https://www.coursera.org/professional-certificates/ibm-and-isc2-cybersecurity-specialist,"1,300,000"
IBM IT Support,IBM," Customer Success, Cloud Computing, Computer Networking, Strategy and Operations, Operating Systems, Cloud Storage, Cloud Applications, Leadership and Management, System Security, Customer Support, Communication, Computer Programming, Cyberattacks, Cloud Infrastructure, Cloud Platforms, Databases, DevOps, Networking Hardware, Cryptography, IBM Cloud, Information Technology, Network Architecture, Network Security, Security Engineering, Software Engineering",4.7,Beginner , Professional Certificate , 3 - 6 Months,6900,https://www.coursera.org/professional-certificates/ibm-it-support,"649,000"
Business Intelligence (BI) Analyst,IBM," Data Management, Databases, SQL, Data Visualization, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Data Architecture, Database Theory, Spreadsheet Software, Data Model, Data Warehousing, Python Programming, Computer Programming, Data Analysis, NoSQL, PostgreSQL, Professional Development, Plot (Graphics), Business Analysis, Statistical Visualization, Data Mining, Data Science, Data Visualization Software, R Programming, Business Intelligence, Forecasting, Interactive Data Visualization, Statistical Analysis",4.7,Beginner , Professional Certificate , 3 - 6 Months,9600,https://www.coursera.org/professional-certificates/business-intelligence-bi-analyst,"1,590,000"
Meta Front-End Developer,Meta," HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing",4.7,Beginner , Professional Certificate , 3 - 6 Months,16000,https://www.coursera.org/professional-certificates/meta-frontend-developer,"939,000"
Generative AI Fundamentals,IBM," Machine Learning, Natural Language Processing",4.7,Beginner , Specialization , 3 - 6 Months,116,https://www.coursera.org/specializations/generative-ai-fundamentals,"1,940,000"
Information Technology (IT) and Cloud Fundamentals,IBM," Cloud Computing, Computer Networking, Operating Systems, Cloud Storage, System Security, Cloud Applications, Cyberattacks, Cloud Infrastructure, Cloud Platforms, Databases, DevOps, Networking Hardware, Computer Programming, Cryptography, IBM Cloud, Network Architecture, Network Security, Security Engineering, Software Engineering",4.7,Beginner , Specialization , 3 - 6 Months,6400,https://www.coursera.org/specializations/information-technology-it-and-cloud-fundamentals,"1,120,000"
Microsoft Power BI Data Analyst,Microsoft," Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL",4.6,Beginner , Professional Certificate , 3 - 6 Months,1400,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,"369,000"
Generative AI for Everyone,DeepLearning.AI," Strategy, Writing",4.9,Beginner , Course , 1 - 4 Weeks,528,https://www.coursera.org/courses/generative-ai-for-everyone,"909,000"
IBM AI Engineering,IBM," Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Network Model, Statistical Machine Learning, Computer Vision, Apache, Big Data, Computer Programming, Data Analysis, Network Architecture, Extract, Transform, Load, Data Visualization, Tensorflow, Visualization (Computer Graphics), Dimensionality Reduction, Natural Language Processing, Data Science",4.6,Intermediate , Professional Certificate , 3 - 6 Months,18000,https://www.coursera.org/professional-certificates/ibm-ai-engineering,"1,920,000"
IBM IT Project Manager,IBM," Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Scrum (Software Development), Software-Defined Networking, Technical Product Management, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming, Risk Management",4.8,Beginner , Professional Certificate , 3 - 6 Months,2700,https://www.coursera.org/professional-certificates/ibm-it-project-manager,"1,850,000"
IBM Data Warehouse Engineer,IBM," Data Management, Database Administration, Databases, SQL, Database Application, Extract, Transform, Load, Data Warehousing, Data Structures, Database Design, Data Engineering, Computer Programming, Data Analysis, Data Architecture, Database Theory, Apache, Python Programming, Leadership and Management, Professional Development, Big Data, Data Model, Distributed Computing Architecture, Business Analysis, PostgreSQL, Devops Tools, Cloud Computing, Linux, IBM Cloud, Network Security, NoSQL, Business Intelligence, Data Science",4.7,Beginner , Professional Certificate , 3 - 6 Months,3800,https://www.coursera.org/professional-certificates/ibm-data-warehouse-engineer,"389,000"
Generative AI for Software Developers,IBM," Natural Language Processing, Software Engineering",4.7,Intermediate , Specialization , 1 - 3 Months,106,https://www.coursera.org/specializations/generative-ai-for-software-developers,"249,000"
Generative AI for Data Scientists,IBM," Data Analysis, Data Science, Natural Language Processing",4.7,Intermediate , Specialization , 1 - 3 Months,106,https://www.coursera.org/specializations/generative-ai-for-data-scientists,"1,220,000"
Foundations of Cybersecurity,Google," Linux, Computer Programming, Leadership and Management, SQL",4.9,Beginner , Course , 1 - 4 Weeks,14000,https://www.coursera.org/courses/foundations-of-cybersecurity,"1,820,000"
Foundations of Project Management,Google," Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning",4.9,Beginner , Course , 1 - 4 Weeks,75000,https://www.coursera.org/courses/foundations-of-project-management,"929,000"
Supervised Machine Learning: Regression and Classification,DeepLearning.AI," Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming",4.9,Beginner , Course , 1 - 4 Weeks,16000,https://www.coursera.org/courses/supervised-machine-learning-regression-and-classification,"479,000"
"BI Foundations with SQL, ETL and Data Warehousing",IBM," Data Management, Extract, Transform, Load, Data Warehousing, Database Administration, Apache, Computer Programming, Python Programming, Data Analysis, Data Structures, Databases, Big Data, Database Application, Distributed Computing Architecture, Cloud Computing, Database Theory, Devops Tools, Leadership and Management, Linux, SQL, Business Intelligence, IBM Cloud",4.6,Beginner , Specialization , 3 - 6 Months,20000,https://www.coursera.org/specializations/bi-foundations-with-sql-etl-and-data-warehousing,"389,000"
"Foundations: Data, Data, Everywhere",Google," Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel",4.8,Beginner , Course , 1 - 3 Months,96000,https://www.coursera.org/courses/foundations-data-data-everywhere,"1,070,000"
Mathematics for Machine Learning and Data Science,DeepLearning.AI," Mathematics, Algebra, Linear Algebra, Machine Learning, Machine Learning Algorithms, Calculus, Differential Equations, Regression, Artificial Neural Networks, Mathematical Theory & Analysis, Python Programming, Algorithms, Critical Thinking, Dimensionality Reduction, General Statistics, Probability & Statistics, Statistical Analysis",4.6,Beginner , Specialization , 1 - 3 Months,1400,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,"199,000"
IBM Full-Stack JavaScript Developer,IBM," Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Continuous Delivery, Docker (Software), Front-End Web Development, Leadership and Management, Software-Defined Networking, Technical Product Management, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming, React (web framework)",4.5,Beginner , Professional Certificate , 3 - 6 Months,2600,https://www.coursera.org/professional-certificates/ibm-fullstack-javascript-developer,"339,000"
Business Foundations,University of Pennsylvania," Accounting, Finance, General Accounting, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Digital Marketing, Estimation, Mathematical Theory & Analysis, Change Management, Organizational Development, People Management, Talent Management, Planning, Operations Management",4.7,Beginner , Specialization , 3 - 6 Months,24000,https://www.coursera.org/specializations/business-foundations,"1,120,000"
Google IT Automation with Python,Google," Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming",4.7,Beginner , Professional Certificate , 3 - 6 Months,43000,https://www.coursera.org/professional-certificates/google-it-automation-with-python,"1,530,000"
AI For Everyone,DeepLearning.AI," Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management",4.8,Beginner , Course , 1 - 4 Weeks,40000,https://www.coursera.org/courses/ai-for-everyone,"1,280,000"
IBM IT Scrum Master,IBM," DevOps, Software Engineering, Computer Programming, Agile Software Development, Programming Principles, Software Engineering Tools, Application Development, Software Architecture, Communication, Continuous Delivery, Cloud Applications, Continuous Integration, Scrum (Software Development), Software-Defined Networking, Technical Product Management, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming",4.8,Beginner , Professional Certificate , 3 - 6 Months,4100,https://www.coursera.org/professional-certificates/ibm-it-scrum-master,"1,210,000"
Python for Everybody,University of Michigan," Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Data Analysis, Software Engineering, Algorithms, Critical Thinking, Problem Solving, Data Architecture, Data Management, Databases, Theoretical Computer Science, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Web Development, Web Development Tools, Computer Networking, Extract, Transform, Load, SQL, HTML and CSS",4.8,Beginner , Specialization , 3 - 6 Months,269000,https://www.coursera.org/specializations/python-for-everybody,"1,580,000"
IBM Project Manager,IBM," Software Engineering, Agile Software Development, Scrum (Software Development), Business Analysis, Communication, Leadership and Management, Project Management, Risk Management",4.8,Beginner , Professional Certificate , 3 - 6 Months,2000,https://www.coursera.org/professional-certificates/ibm-project-manager,"769,000"
IBM Applied DevOps Engineering,IBM," DevOps, Software Engineering, Cloud Computing, Continuous Delivery, Continuous Integration, Application Development, Cloud Applications, Software Architecture, Security Engineering, Computer Programming, Kubernetes, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Software Testing, Agile Software Development, IBM Cloud, Docker (Software), Scrum (Software Development), Software Security, Leadership and Management",4.7,Intermediate , Professional Certificate , 3 - 6 Months,4300,https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering,"569,000"
AI in Healthcare,Stanford University," Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining",4.7,Beginner , Specialization , 3 - 6 Months,1300,https://www.coursera.org/specializations/ai-in-healthcare,"909,000"
IBM Front-End Developer,IBM," Cloud Applications, Software Engineering, Computer Programming, Application Development, Cloud Computing, IBM Cloud, Programming Principles, Software Engineering Tools, Web Development, Agile Software Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Communication, DevOps, Software Architecture, Continuous Integration, Software As A Service, Cloud Storage, Continuous Delivery, Front-End Web Development, Leadership and Management, Software-Defined Networking, Technical Product Management, Collaboration, Javascript, NoSQL, Mergers & Acquisitions, Python Programming, React (web framework), Strategy, User Experience",4.6,Beginner , Professional Certificate , 3 - 6 Months,1800,https://www.coursera.org/professional-certificates/ibm-frontend-developer,"1,730,000"
IBM Cybersecurity Analyst,IBM," Cryptography, Python Programming, Linux, Network Security, Security Strategy, Software Security, System Software, Computer Security Incident Management, Networking Hardware, Security Software, Cloud Computing, Cyberattacks, DevOps, Mobile Security, Computer Programming, Databases, Leadership and Management, Operating Systems, SQL, System Security",4.6,Beginner , Professional Certificate , 3 - 6 Months,22000,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,"1,700,000"
IBM Back-end JavaScript Developer,IBM," Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Continuous Delivery, Docker (Software), Leadership and Management, Software-Defined Networking, Technical Product Management, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming",4.5,Beginner , Professional Certificate , 3 - 6 Months,2300,https://www.coursera.org/professional-certificates/ibm-backend-javascript-developer,"1,420,000"
